trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
175,0,175,0,5,345.0379953,345.0379953,0.0255353,[0.34814814814814815],[0.12962962962962962],[1],[0],[0],[1.9516114000002744],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
176,0,176,0,10,347.0459099,347.0459099,0.0461211,[0.0],[-0.37407407407407406],[1],[0],[0],[1.7627071000001706],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
177,0,177,0,10,348.8604452,348.8604452,0.0411872,[0.020370370370370372],[0.20555555555555555],[1],[0],[0],[1.7348515000003317],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
178,0,178,0,10,350.6516421,350.6516421,0.0484311,[0.42962962962962964],[-0.07037037037037037],[1],[0],[0],[1.6440850000003593],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
179,0,179,0,5,352.3195855,352.3195855,0.0211256,[0.49537037037037035],[0.40185185185185185],[1],[0],[0],[2.586826900000233],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
180,0,180,0,5,354.9491093,354.9491093,0.0342878,[-0.23148148148148148],[-0.33055555555555555],[1],[0],[0],[2.339732500000082],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
181,0,181,0,5,357.3151028,357.3151028,0.0216195,[0.06296296296296296],[0.13148148148148148],[1],[0],[0],[1.2722469000000274],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
182,0,182,0,10,358.6402741,358.6402741,0.0416398,[0.06481481481481481],[-0.08333333333333333],[1],[0],[0],[1.8183875999998236],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
183,0,183,0,5,360.4830276,360.4830276,0.0239935,[-0.2175925925925926],[0.2712962962962963],[1],[0],[0],[1.9865563999996994],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
184,0,184,0,5,362.5056771,362.5056771,0.0242575,[0.42685185185185187],[-0.004629629629629629],[1],[0],[0],[1.4515760000003866],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
185,0,185,0,5,363.9874576,363.9874576,0.0291852,[-0.2740740740740741],[-0.38796296296296295],[1],[0],[0],[2.430288399999881],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
186,0,186,0,5,366.4462433,366.4462433,0.0221525,[-0.39814814814814814],[0.14351851851851852],[1],[0],[0],[2.0546478999999636],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
187,0,187,0,10,368.5549572,368.5549572,0.0441084,[-0.11851851851851852],[0.3425925925925926],[1],[0],[0],[1.4145238000000973],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
188,0,188,0,5,369.9911707,369.9911707,0.0194958,[0.287962962962963],[-0.4462962962962963],[1],[0],[0],[2.2448764000000665],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
