trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
177,0,177,0,10,266.9057629,266.9057629,0.0173975,[0.09907407407407408],[0.4740740740740741],[1],[0],[0],[1.2108742999844253],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
178,0,178,0,5,268.1323501,268.1323501,0.0103251,[-0.075],[-0.18333333333333332],[1],[0],[0],[1.0994186000316404],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
179,0,179,0,5,269.2457747,269.2457747,0.0109865,[0.11574074074074074],[-0.48148148148148145],[1],[0],[0],[1.7844729000353254],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
180,0,180,0,10,271.0537684,271.0537684,0.018335,[-0.22314814814814815],[-0.025925925925925925],[1],[0],[0],[1.0950224000262097],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
181,0,181,0,5,272.1606587,272.1606587,0.0116284,[-0.14444444444444443],[-0.0962962962962963],[1],[0],[0],[0.900922900007572],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
182,0,182,0,10,273.090944,273.090944,0.0218445,[-0.49537037037037035],[0.39166666666666666],[1],[0],[0],[1.0055132000125013],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
183,0,183,0,5,274.1181187,274.1181187,0.015969,[-0.20833333333333334],[0.10555555555555556],[1],[0],[0],[0.9434107000124641],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
184,0,184,0,5,275.0822135,275.0822135,0.0147606,[0.08981481481481482],[-0.19907407407407407],[1],[0],[0],[1.2451330999610946],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
185,0,185,0,10,276.3545263,276.3545263,0.019699,[-0.3685185185185185],[0.18981481481481483],[1],[0],[0],[1.4562145000090823],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
186,0,186,0,5,277.8232998,277.8232998,0.0110169,[0.1675925925925926],[0.42777777777777776],[1],[0],[0],[1.3168634999892674],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
187,0,187,0,5,279.1548087,279.1548087,0.0109177,[0.37222222222222223],[-0.07222222222222222],[1],[0],[0],[1.7359872999950312],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
188,0,188,0,5,280.9137231,280.9137231,0.0167465,[-0.06666666666666667],[-0.09814814814814815],[1],[0],[0],[1.2753197000129148],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
189,0,189,0,10,282.2374337,282.2374337,0.0411624,[0.04259259259259259],[-0.23703703703703705],[1],[0],[0],[1.4846183999907225],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
190,0,190,0,5,283.7332737,283.7332737,0.0109379,[-0.05092592592592592],[0.4398148148148148],[1],[0],[0],[1.0353115999605507],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
191,0,191,0,10,284.7925598,284.7925598,0.0186873,[0.28703703703703703],[0.45740740740740743],[1],[0],[0],[1.5258511999854818],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
192,0,192,0,10,286.3426911,286.3426911,0.0174571,[-0.07222222222222222],[-0.30925925925925923],[1],[0],[0],[1.5283042999799363],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
193,0,193,0,10,287.8901666,287.8901666,0.0172723,[0.2037037037037037],[0.13518518518518519],[1],[0],[0],[1.077845099964179],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
194,0,194,0,10,288.9943801,288.9943801,0.0174535,[-0.4675925925925926],[-0.3472222222222222],[1],[0],[0],[1.6606026000226848],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
195,0,195,0,5,290.6599523,290.6599523,0.0096991,[0.13148148148148148],[-0.26851851851851855],[1],[0],[0],[1.1857272000052035],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
196,0,196,0,5,291.8597911,291.8597911,0.0096495,[0.3814814814814815],[-0.462037037037037],[1],[0],[0],[1.7356611999566667],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
197,0,197,0,10,293.6244978,293.6244978,0.0230919,[0.33425925925925926],[0.3074074074074074],[1],[0],[0],[1.2541747000068426],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
198,0,198,0,10,294.9100747,294.9100747,0.0230573,[-0.44907407407407407],[0.3990740740740741],[1],[0],[0],[1.0693710999912582],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
199,0,199,0,5,295.9906152,295.9906152,0.0098685,[0.3037037037037037],[0.1787037037037037],[1],[0],[0],[1.151609099993948],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
