trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
120,0,120,0,10,272.1696834,272.1696834,0.0463163,[-0.35648148148148145],[0.48055555555555557],[1],[0],[0],[3.747190099999898],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
121,0,121,0,10,276.0044231,276.0044231,0.0754419,[-0.08796296296296297],[0.2222222222222222],[1],[0],[0],[1.4509600000001228],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
122,0,122,0,5,277.4779255,277.4779255,0.0225367,[-0.0824074074074074],[-0.09537037037037037],[1],[0],[0],[2.0359050999995816],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
123,0,123,0,5,279.5396776,279.5396776,0.0218701,[0.26296296296296295],[0.040740740740740744],[1],[0],[0],[1.3230481999999029],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
124,0,124,0,5,280.8923516,280.8923516,0.0259136,[0.4861111111111111],[0.03796296296296296],[1],[0],[0],[2.134534600000734],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
125,0,125,0,5,283.0581306,283.0581306,0.0256338,[-0.4388888888888889],[0.4564814814814815],[1],[0],[0],[2.035104099999444],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
126,0,126,0,10,285.1488234,285.1488234,0.0459972,[-0.1712962962962963],[-0.4546296296296296],[1],[0],[0],[2.2473948999995628],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
127,0,127,0,5,287.4231258,287.4231258,0.0237593,[-0.26666666666666666],[-0.26666666666666666],[1],[0],[0],[1.5356899000007616],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
128,0,128,0,10,289.0144954,289.0144954,0.0420821,[-0.2953703703703704],[0.10833333333333334],[1],[0],[0],[1.2506530999999086],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
129,0,129,0,5,290.2910123,290.2910123,0.0253943,[0.42962962962962964],[0.03981481481481482],[1],[0],[0],[1.616854500000045],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
130,0,130,0,10,291.9631731,291.9631731,0.0445088,[-0.19907407407407407],[0.06111111111111111],[1],[0],[0],[1.565168299999641],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
